"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","220150008","3","5.5","ug/m3 LC","23","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/02/2010","AQS","220150008","3","9.8","ug/m3 LC","41","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/03/2010","AQS","220150008","3","4","ug/m3 LC","17","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/04/2010","AQS","220150008","3","5.2","ug/m3 LC","22","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/05/2010","AQS","220150008","3","8.8","ug/m3 LC","37","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/06/2010","AQS","220150008","3","9.2","ug/m3 LC","38","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/07/2010","AQS","220150008","3","6.5","ug/m3 LC","27","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/08/2010","AQS","220150008","3","3","ug/m3 LC","13","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/09/2010","AQS","220150008","3","4.4","ug/m3 LC","18","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/10/2010","AQS","220150008","3","7","ug/m3 LC","29","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/11/2010","AQS","220150008","3","7.9","ug/m3 LC","33","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/12/2010","AQS","220150008","3","8.2","ug/m3 LC","34","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
