"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","350010019","3","21.6","ug/m3 LC","71","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/02/2010","AQS","350010019","3","18.4","ug/m3 LC","64","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/03/2010","AQS","350010019","3","19.1","ug/m3 LC","66","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/04/2010","AQS","350010019","3","21.1","ug/m3 LC","70","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/05/2010","AQS","350010019","3","21","ug/m3 LC","70","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/06/2010","AQS","350010019","3","18.1","ug/m3 LC","64","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/07/2010","AQS","350010019","3","20.3","ug/m3 LC","68","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/08/2010","AQS","350010019","3","21.6","ug/m3 LC","71","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/09/2010","AQS","350010019","3","27.2","ug/m3 LC","83","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/10/2010","AQS","350010019","3","34.3","ug/m3 LC","98","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/11/2010","AQS","350010019","3","19.7","ug/m3 LC","67","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/12/2010","AQS","350010019","3","26","ug/m3 LC","80","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/13/2010","AQS","350010019","3","25.5","ug/m3 LC","79","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/14/2010","AQS","350010019","3","12.4","ug/m3 LC","52","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/15/2010","AQS","350010019","3","10.7","ug/m3 LC","45","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/16/2010","AQS","350010019","3","15.1","ug/m3 LC","57","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/17/2010","AQS","350010019","3","17.9","ug/m3 LC","63","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/18/2010","AQS","350010019","3","11.8","ug/m3 LC","49","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/19/2010","AQS","350010019","3","9.4","ug/m3 LC","39","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/20/2010","AQS","350010019","3","8.4","ug/m3 LC","35","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
"01/21/2010","AQS","350010019","3","8.9","ug/m3 LC","37","UPTOWN ZUNI PARK","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","10740","Albuquerque, NM","35","New Mexico","001","Bernalillo","35.107280000888","-106.56359"
