"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2010","AQS","460110002","1","7.1","ug/m3 LC","30","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/05/2010","AQS","460110002","1","15.8","ug/m3 LC","59","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/08/2010","AQS","460110002","1","5.5","ug/m3 LC","23","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/11/2010","AQS","460110002","1","9.4","ug/m3 LC","39","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/14/2010","AQS","460110002","1","11.8","ug/m3 LC","49","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/17/2010","AQS","460110002","1","23","ug/m3 LC","74","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/20/2010","AQS","460110002","1","15.5","ug/m3 LC","58","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/23/2010","AQS","460110002","1","5.8","ug/m3 LC","24","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/26/2010","AQS","460110002","1","4.4","ug/m3 LC","18","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"01/29/2010","AQS","460110002","1","19.1","ug/m3 LC","66","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/01/2010","AQS","460110002","1","20.3","ug/m3 LC","68","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/04/2010","AQS","460110002","1","21.2","ug/m3 LC","70","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/07/2010","AQS","460110002","1","19.1","ug/m3 LC","66","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/10/2010","AQS","460110002","1","10.7","ug/m3 LC","45","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/13/2010","AQS","460110002","1","26.3","ug/m3 LC","81","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/16/2010","AQS","460110002","1","3.7","ug/m3 LC","15","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/19/2010","AQS","460110002","1","16.2","ug/m3 LC","60","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/22/2010","AQS","460110002","1","11.6","ug/m3 LC","48","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/25/2010","AQS","460110002","1","8.6","ug/m3 LC","36","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"02/28/2010","AQS","460110002","1","18.1","ug/m3 LC","64","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"03/03/2010","AQS","460110002","1","26.2","ug/m3 LC","81","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"03/06/2010","AQS","460110002","1","25.7","ug/m3 LC","80","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
"03/09/2010","AQS","460110002","1","13","ug/m3 LC","53","","1","100.0000","88101","PM2.5 - Local Conditions","15100","Brookings, SD","46","South Dakota","011","Brookings","44.310283","-96.80071"
